goos: darwin
goarch: arm64
pkg: github.com/mateothegreat/go-validation
cpu: Apple M1 Max
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int_Valid_Conc4-10                              	1000000000	         0.6065 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int_Valid_Conc8-10                              	1000000000	         0.4917 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int_Invalid_Conc1-10                            	20022302	        65.91 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int_Invalid_Conc2-10                            	15477654	        68.78 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int_Invalid_Conc4-10                            	19338202	        70.29 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int_Invalid_Conc8-10                            	14413252	        75.03 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int64_Valid_Conc1-10                            	1000000000	         0.4894 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int64_Valid_Conc2-10                            	1000000000	         0.5131 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int64_Valid_Conc4-10                            	1000000000	         0.5328 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int64_Valid_Conc8-10                            	1000000000	         0.4751 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int64_Invalid_Conc1-10                          	19257321	        64.71 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int64_Invalid_Conc2-10                          	18347419	        67.18 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int64_Invalid_Conc4-10                          	18442834	        64.02 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Int64_Invalid_Conc8-10                          	18551106	        65.57 ns/op	      96 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Float64_Valid_Conc1-10                          	1000000000	         0.5723 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Float64_Valid_Conc2-10                          	1000000000	         0.6070 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Float64_Valid_Conc4-10                          	1000000000	         0.6175 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Float64_Valid_Conc8-10                          	1000000000	         0.5164 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Float64_Invalid_Conc1-10                        	14367327	        85.52 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Float64_Invalid_Conc2-10                        	13583962	        90.41 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Float64_Invalid_Conc4-10                        	13540814	        87.77 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_Range_Float64_Invalid_Conc8-10                        	13603501	        87.84 ns/op	     112 B/op	       5 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MinLen_Valid_Conc1-10                    	1000000000	         0.5879 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MinLen_Valid_Conc2-10                    	1000000000	         0.6118 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MinLen_Valid_Conc4-10                    	1000000000	         0.6897 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MinLen_Valid_Conc8-10                    	1000000000	         0.5765 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MinLen_Invalid_Conc1-10                  	20281917	        62.67 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MinLen_Invalid_Conc2-10                  	20980059	        54.60 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MinLen_Invalid_Conc4-10                  	21769628	        53.72 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MinLen_Invalid_Conc8-10                  	19809375	        55.27 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MaxLen_Valid_Conc1-10                    	1000000000	         0.5775 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MaxLen_Valid_Conc2-10                    	1000000000	         0.6086 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MaxLen_Valid_Conc4-10                    	1000000000	         0.5875 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MaxLen_Valid_Conc8-10                    	1000000000	         0.6507 ns/op	       0 B/op	       0 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MaxLen_Invalid_Conc1-10                  	22172112	        52.38 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MaxLen_Invalid_Conc2-10                  	21225007	        61.55 ns/op	      80 B/op	       3 allocs/op
BenchmarkValidationSuite/Concurrency/Concurrent_StringLength_MaxLen_Invalid_Conc4-10                  	19500765	        59.07 ns/op	      80 B/op	       3 allocs/op
